"Keycode","Keyname","Keycount"
49,"1",3870
50,"2",5741
51,"3",2739
52,"4",1631
53,"5",1413
54,"6",1023
55,"7",722
56,"8",1393
57,"9",4048
48,"0",5016
65,"A",44460
66,"B",11348
67,"C",16722
68,"D",19591
69,"E",33062
70,"F",7547
71,"G",22468
72,"H",27254
73,"I",51276
74,"J",9086
75,"K",4969
76,"L",13243
77,"M",10370
78,"N",40687
79,"O",29875
80,"P",6484
81,"Q",4037
82,"R",11250
83,"S",26092
84,"T",15559
85,"U",32162
86,"V",10196
87,"W",9780
88,"X",10098
89,"Y",13657
90,"Z",15284
16777219,"Backspace",63123
16777220,"Enter",40634
16777217,"Tab",4254
16777252,"Capslock",9
16781922,"Left Shift",25383
16781917,"Left Ctrl",40810
16781915,"Left Alt",5317
16781914,"Right Alt",173
16781916,"Right Ctrl",1017
16781921,"Right Shift",1251
16777234,"Left",29533
16777237,"Down",19154
16777236,"Right",22887
16777235,"Up",19858
16777222,"Insert",0
16777232,"Home",4689
16777238,"PageUp",1081
16777223,"Delete",6020
16777233,"End",9215
16777239,"PageDown",1597
16777216,"Escape",434
32,"Space",85029
16777264,"F1",13
16777265,"F2",352
16777266,"F3",43
16777267,"F4",2
16777268,"F5",898
16777269,"F6",4
16777270,"F7",4
16777271,"F8",1
16777272,"F9",11
16777273,"F10",455
16777274,"F11",27
16777275,"F12",327
16781912,"0",0
16781920,"1",0
16781909,"2",0
16781906,"3",0
16781911,"4",0
16781908,"5",0
16781919,"6",0
16781918,"7",0
16781913,"8",0
168,"9",0
16777471,".",0
16781910,"Enter",1
202,"-",0
16777476,"Numlock",0
16777428,"+",0
16777474,"/",0
16777429,"*",0
195,"~",314
45,"-",3364
61,"=",4284
91,"[",2048
93,"]",797
92,"\",1032
59,";",3446
39,"'",2011
44,",",5813
46,".",8709
47,"/",3447
